City,State,2014_avg,2015_avg,2016_avg,2017_avg,2018_avg,2019_avg,2020_avg,2021_avg,2022_avg,2023_avg,2024_avg
Muskegon,MI,92982,99277,109776,122431,134912,146275,161600,191674,215786,218487,219413
Abilene,TX,113696,119011,125306,128657,136500,140303,148023,165881,183966,188051,185523
Iowa City,IA,185923,192893,198985,206276,214643,222470,229190,243352,266156,276933,276334
Auburn,AL,172397,176236,185033,196154,206907,219586,232896,258551,284410,299054,302382
Midland,TX,216303,223527,214398,216227,240924,272451,281851,277235,283373,287424,292880
Bloomington,IL,168226,167356,169194,168450,168782,167884,173608,186207,209981,219988,222737
Hattiesburg,MS,131735,138472,141716,142177,149989,154436,161552,176676,189252,193835,193010
Oshkosh,WI,144270,148854,156876,166559,176744,186855,201010,225656,246874,260474,260512
Eau Claire,WI,153447,159695,168026,178682,190174,202336,218993,249013,274435,288476,289668
Greenville,NC,126788,127504,129608,134516,140218,147801,158788,184042,216738,233228,236885
Burlington,NC,131269,138015,144640,152455,162012,170311,182943,213705,257354,273130,275492
Waterloo,IA,129171,132436,133470,133395,137091,143529,148623,157152,172085,181246,181373
Coeur d'Alene,ID,204155,220058,238145,263162,294118,326428,375078,498899,558786,554488,538512
East Stroudsburg,PA,141583,139243,139996,145758,156673,171058,185293,237685,281138,286245,288307
Pueblo,CO,123399,131222,144061,157751,175636,192341,216073,264091,299141,292627,283872
Blacksburg,VA,158265,160535,165261,169566,177347,186632,201618,227379,250343,259048,257487
Wausau,WI,131169,134866,140572,146696,155746,167090,178459,192268,206014,223557,223443
Kahului,HI,505019,546402,576629,607318,639218,665200,707707,807649,989874,1011590,1021162
Janesville,WI,121019,126888,135674,147545,159134,169983,183053,208859,227692,243338,245599
Tupelo,MS,118818,123982,131411,132842,130570,133717,140200,157274,169612,167502,165919
Bloomington,IN,150509,155331,163075,172791,185006,198583,216402,247262,274140,280796,279135
Odessa,TX,145171,160962,161016,159480,171138,201327,219870,216202,212927,214003,219187
Jackson,MI,102127,112782,120404,128774,138971,148333,160673,181027,193550,196798,198489
State College,PA,200791,209177,215926,225314,236106,250196,263958,284444,303859,317414,317633
Sebastian,FL,155303,170948,189752,209216,226128,235458,247137,292397,367624,375438,374591
Madera,CA,190894,204836,217054,237193,261635,275292,294752,349607,395231,393498,398794
Decatur,AL,127665,128184,132516,137943,143504,154843,169342,194202,212781,217889,215803
Chambersburg,PA,158472,161756,165954,173473,180364,190140,203590,228324,247696,258145,259930
Vineland,NJ,143553,144205,146654,146985,144771,150918,163465,192010,215971,234000,237071
Idaho Falls,ID,155798,162613,178449,194619,215524,238603,276202,364208,410612,386062,381282
Grand Junction,CO,194385,202741,213853,227587,247643,267111,289422,338029,381448,388612,389417
Elizabethtown,KY,122784,122548,125547,132913,140466,147592,160188,183155,206526,214984,214564
Niles,MI,138324,143940,147215,154179,161745,169426,182100,209550,234628,241709,242198
Monroe,MI,139447,151522,158814,166453,173695,180935,190841,210555,226269,232958,234931
Santa Fe,NM,285013,292533,299977,324620,338454,374333,407946,472256,526964,536185,536503
Concord,NH,209293,217052,224669,239740,255725,266732,290694,346189,396168,419628,429587
Alexandria,LA,125632,129496,136475,136385,140994,142833,149218,150666,156655,159901,150680
Traverse City,MI,184640,197039,206695,219988,233963,243364,260239,314331,357649,375902,376474
Bangor,ME,135313,136491,138164,142736,151914,156437,170349,203697,232757,247491,248521
Homosassa Springs,FL,108313,116626,129571,142347,157881,165466,179512,222507,275538,280388,278344
Hanford,CA,166037,176823,191451,210524,223829,235115,251341,292871,328469,332564,340162
Jefferson City,MO,134558,138401,145239,151993,163090,169001,179083,202628,224978,232718,235096
Florence,AL,118891,120329,125932,128210,131084,135426,145720,167234,187703,195123,196070
Dothan,AL,116020,118494,122582,124610,125525,131539,139587,151777,168521,173118,171845
London,KY,78829,81550,85865,89358,93278,95596,103774,117482,131735,136696,131521
Albany,GA,89843,90199,89283,87389,93769,98107,106107,120129,139715,146739,149502
Sioux City,IA,111028,118635,125780,132425,138906,147915,157340,172732,189972,197776,197387
Wichita Falls,TX,92948,92408,93458,96022,102061,107325,117357,137835,158998,160310,159704
Texarkana,TX,110355,113221,117889,118770,125510,130308,139498,157370,172152,168564,166623
Valdosta,GA,118139,117876,117677,117283,122729,129757,138621,158568,182190,192363,194009
Logan,UT,187719,196300,213858,232657,256324,280069,310795,389702,454653,445784,435226
Flagstaff,AZ,275319,297525,318541,345481,364092,383017,413591,513061,611925,608882,614113
Rocky Mount,NC,98301,99253,100586,105028,110389,115902,127719,149926,175089,185253,188931
Pottsville,PA,71190,72354,72970,74682,78991,81910,90964,109683,120266,125871,129097
Dalton,GA,107746,113207,119626,129209,138338,148399,159716,185952,211868,220043,225277
Lebanon,PA,171718,167946,171069,176107,183813,193406,206192,230038,256475,271153,273646
Morristown,TN,125085,129524,137677,145526,154082,170913,182656,207928,242403,256518,261133
Winchester,VA,201265,210287,219679,231112,240501,250948,265551,305148,340554,349449,352139
Wheeling,WV,94835,101661,102667,102990,109106,111778,119518,129774,134964,132909,131487
Morgantown,WV,163143,173525,175852,177176,180722,181397,187873,205081,215475,220629,220361
La Crosse,WI,160835,166171,174664,183789,192915,202681,215487,240175,264523,279006,278289
Napa,CA,510882,564852,619219,660676,695573,710815,738035,835240,902935,900363,891505
Rapid City,SD,181799,188619,196077,204341,214085,226384,244696,285471,336812,343806,341931
Sumter,SC,114161,115875,117711,119228,126111,139679,148418,159411,172647,178589,177260
Eureka,CA,293345,305157,329505,358349,373237,392028,402920,441135,475482,455651,436723
Springfield,OH,90437,92078,96377,102061,108612,115910,126883,145697,162088,172047,174980
Harrisonburg,VA,191114,198275,204384,210075,216956,224778,241196,270774,294835,312855,314155
Battle Creek,MI,81041,86323,92700,99774,103181,115924,125878,148306,161402,165087,166814
Sherman,TX,118605,129243,142265,159099,177616,186726,199515,235877,277150,280566,276371
Manhattan,KS,162007,168855,171331,178093,181637,185063,192329,208125,225216,232710,232100
Carbondale,IL,98416,101730,103238,105325,105701,111262,114368,120697,129287,129774,127779
Johnstown,PA,86915,86674,85127,85052,89056,96220,103325,109692,114812,108340,96782
Jonesboro,AR,116949,118757,122770,126249,131657,137732,145729,162336,179833,186455,185982
Bismarck,ND,247807,267380,264656,262534,262134,264583,270618,288844,312752,322479,322004
Hammond,LA,158798,174783,181938,179816,176539,181243,190553,207849,223597,212263,201657
Pittsfield,MA,199993,202452,207360,211875,220152,227245,243647,287076,328165,348620,351532
Mount Vernon,WA,240574,258660,290252,321167,354310,377875,418584,503028,557925,547374,548331
Jamestown,NY,84860,86061,89557,91911,95045,100051,109860,129062,148313,153610,154584
The Villages,FL,239075,254252,251613,255766,268869,284776,297385,326397,409949,407041,398394
Albany,OR,165447,178253,198221,223180,250495,269461,293355,349209,392296,392656,392845
Glens Falls,NY,167430,171037,174944,179961,186213,191638,202590,231105,256708,269068,271946
Lawton,OK,105589,100768,98240,96542,95837,97027,101288,115522,127718,130883,132408
Cleveland,TN,132184,138604,146783,155412,165786,175414,192343,227064,261631,272876,277949
Sierra Vista,AZ,149918,147491,148482,153534,160722,177233,194171,219005,247831,247176,249632
Ames,IA,158025,167544,174430,182213,187747,190961,198966,215570,236813,245640,239064
Mansfield,OH,80663,84105,89211,94205,102083,110485,120888,141529,157519,163961,167355
Staunton,VA,176860,184687,188976,195851,204195,218630,234344,259788,288269,293390,295639
Augusta,ME,138244,141749,145935,152879,161532,170532,189239,234734,268372,290108,295633
Altoona,PA,129637,133070,138429,145646,143554,146301,157671,164684,166028,165863,163906
New Bern,NC,134546,132952,136565,141474,147661,154431,165771,188932,218857,236540,241543
Farmington,NM,160173,166893,166292,170885,173853,180525,184917,194569,215257,225629,228971
St. Joseph,MO,115302,115253,118904,121534,126150,132898,143182,161143,173294,177282,176595
San Angelo,TX,122186,135753,142632,143916,147997,165067,178168,201989,216283,221604,219599
Wenatchee,WA,234240,253252,272496,294139,321165,351319,386516,452110,496436,489277,482584
Owensboro,KY,99682,103489,106695,112345,124194,130946,140188,156297,174621,182232,183670
Holland,MI,147922,158107,170125,185421,198512,208350,223969,261493,287743,294114,296711
Lumberton,NC,74807,76914,74254,72863,77973,80438,88004,104666,120531,128239,127040
Lawrence,KS,168855,171958,180688,189601,200353,209820,224573,256323,282901,296750,296725
Goldsboro,NC,101510,104386,109336,114071,118744,122415,131895,142188,160526,168383,168878
Watertown,NY,141497,140536,139302,138569,142731,146705,153594,169253,187285,194230,196320
Sheboygan,WI,136592,143143,151698,161403,174408,183949,198495,222307,241409,261050,265126
Weirton,WV,70133,76068,77209,80180,84623,88850,96201,110175,118893,120802,119383
Missoula,MT,249743,261261,274799,293651,308690,322968,354847,458318,536594,538868,544366
Bozeman,MT,290132,316723,349725,385736,423543,446575,491240,615994,698373,681966,700398
Anniston,AL,140251,110117,108814,109061,114553,122719,129633,144645,153494,154923,151323
Beckley,WV,72809,81000,82976,81353,82580,84415,89920,101769,115621,123187,125562
Williamsport,PA,148978,153318,156798,159399,161487,166440,176022,190119,205486,213150,213309
Brunswick,GA,144916,151505,157013,164759,179091,189773,201918,231866,272324,286454,289140
California,MD,284504,284561,283817,293600,300652,310355,328777,366463,388356,395264,392712
Twin Falls,ID,148908,156378,168721,182860,199265,219742,245322,317943,372499,357350,353383
Cookeville,TN,129335,133035,141969,150367,162010,175901,192582,226897,264505,271682,270109
Muncie,IN,76904,77791,80976,85414,91302,94533,103232,120759,135712,143796,145104
Michigan City,IN,123459,127624,129930,134894,144439,154202,164290,189705,212592,223542,223309
Roseburg,OR,157285,167494,179179,194272,211365,223383,245171,292791,329653,329866,327897
Lewiston,ME,137715,140830,147224,159363,171147,181115,201892,242259,277360,298082,306274
Longview,WA,167856,182086,203410,228525,251803,274984,306971,363666,399192,397482,396066
Ogdensburg,NY,85251,84821,87104,87829,90152,94007,98315,112503,124721,127181,128066
Kankakee,IL,124608,126414,127651,131573,137399,145158,152942,167998,182735,190534,192715
Bluefield,WV,81840,84290,85225,84547,85131,86730,91486,105318,120319,128270,129213
Show Low,AZ,164119,174791,184577,196761,210376,229122,254370,327168,380855,374342,378008
Richmond,KY,123141,129043,135156,145465,154242,158785,173140,195395,214955,222626,225127
Tullahoma,TN,122725,130533,140442,150748,161229,177539,193657,233151,273736,282738,282476
Whitewater,WI,184219,191487,199907,214008,227664,242869,261542,303182,330796,349338,346965
Ithaca,NY,193190,203249,209535,219111,225717,226588,237785,263649,296034,311129,314457
Grand Forks,ND,177091,190367,201817,204770,206052,207858,213071,224592,239207,242090,238530
Decatur,IL,78513,78279,78520,77045,77460,82481,84306,92191,95357,100416,102447
LaGrange,GA,91287,93337,95500,98207,109135,116072,123368,142330,166979,176010,177991
Bay City,MI,91518,92621,95536,97631,101828,110491,121032,134940,146152,155168,158486
Fond du Lac,WI,140854,142446,144959,150676,160345,170179,180422,203294,227023,242231,245776
Gettysburg,PA,186638,188997,195661,204253,210973,217275,230627,257873,280736,291314,293894
Gadsden,AL,98877,99660,102193,107161,111757,121250,133666,150914,166185,164391,163906
Kalispell,MT,249761,266522,284451,301608,321057,341001,376406,512455,647657,614441,621046
Danville,VA,89583,87853,90590,91022,91922,96823,103216,117834,136595,143752,146815
Mankato,MN,169785,174877,185745,195781,205712,216602,227482,249414,275615,284192,280804
Lima,OH,92548,95547,99528,104194,110564,116962,126665,145265,159525,165358,165991
Salem,OH,84098,88041,90504,92899,99861,106211,112307,124303,135728,141116,140167
Truckee,CA,359238,386405,412777,445846,479781,485910,508861,616976,661613,624340,611716
Sebring,FL,88636,97698,109856,121197,131684,141684,152479,183089,224802,236307,240624
Cheyenne,WY,222026,238579,249489,261156,272466,293739,322288,339006,357696,360140,356263
Hot Springs,AR,128318,130180,133169,136063,142541,149200,161862,194690,227284,236089,236443
Adrian,MI,111724,117196,125992,138049,147611,155300,166206,188612,209681,212392,214119
Shelby,NC,87613,91805,96832,100510,107612,121295,134388,158618,178274,191965,183574
Dubuque,IA,155582,159323,164318,169422,174555,183598,194342,211703,234098,242365,240946
Meridian,MS,108113,110641,108535,101833,101425,103150,105025,117592,127727,121219,116536
Pinehurst,NC,201109,205941,212968,222257,232810,241469,261559,312808,374820,392615,396402
Paducah,KY,88378,91535,95531,95903,100075,104919,112659,120660,132219,141963,138953
Victoria,TX,142781,152749,155307,150278,153364,163242,171618,188383,208910,212099,208829
Rome,GA,101124,105468,111065,113765,123721,139140,152536,178013,206857,211572,213019
Sevierville,TN,156891,165827,179368,194895,213523,233301,264789,341674,422715,412104,402200
Moses Lake,WA,161852,166816,175671,184123,203002,222797,247688,301980,345307,346419,346290
Ashtabula,OH,94334,92636,95907,98583,103787,109939,119855,141007,157650,161567,161695
Cape Girardeau,MO,129697,136736,141919,146871,152174,155717,165107,185476,207420,209883,209301
Albertville,AL,122292,123498,128448,129157,137112,149188,163241,188260,214179,216096,215314
Fairbanks,AK,219179,224398,233425,243878,251487,266721,276744,285691,298877,294087,291242
Brainerd,MN,174228,186239,193537,199130,207333,217517,233620,273632,314557,325976,320524
Cumberland,MD,102436,103562,103597,103736,106650,113922,120100,135923,147350,149915,148717
Ocean City,NJ,367819,368822,378852,390838,406466,424160,459605,568225,660655,679634,689184
Corvallis,OR,272429,288680,311426,334293,361146,378797,401740,456787,514909,527611,524732
Pocatello,ID,144564,145782,154457,161726,176733,199353,227101,285180,329303,330249,331459
Corning,NY,99937,99302,100320,103395,108892,113017,120419,133403,148658,152314,150715
New Philadelphia,OH,108201,114075,121703,125337,129120,137211,149268,168037,183629,185553,186813
Sunbury,PA,98214,102453,103872,103025,111512,115177,126680,133405,132817,135696,130282
Ukiah,CA,349827,370281,400936,441766,464919,489172,509672,575412,572719,520254,488516
Hermiston,OR,146829,151967,158672,168326,183789,198471,219002,259955,295779,294628,291462
Clarksburg,WV,98571,105480,110151,114419,119604,120891,126917,139872,146734,149575,147516
Parkersburg,WV,100318,107183,106852,108029,113331,118902,124145,137662,150125,155256,154630
Beaver Dam,WI,149417,153579,160325,167359,177941,190687,204990,231424,249015,266086,266273
Pine Bluff,AR,62594,64896,70073,73688,74001,77970,84134,94095,98253,98356,95315
Grants Pass,OR,202647,217138,238587,263956,288011,294128,316921,378165,404776,394075,388716
Cullman,AL,133338,140180,149181,153124,158775,166286,179300,206144,233255,233649,227499
Lufkin,TX,112007,113895,117071,120010,122514,135913,148191,168565,185315,188538,181060
Zanesville,OH,91117,95425,101386,107259,113219,122041,131463,150751,167674,174488,178382
New Castle,PA,90199,91855,95218,97395,102077,106289,114839,128629,142546,145567,146584
